timestamp,tier,cpu_count,total_memory_mb,model,complexity_level,batch_size,num_iterations,repeat_index,runtime_sec,peak_memory_mb,avg_cpu_pct
2026-07-03T19:26:59.581445,large_full,4,7937.3,resnet18,1,8,310,0,78.3602,523.06,379.2
2026-07-03T19:28:19.046287,large_full,4,7937.3,resnet18,1,8,310,1,79.4567,523.38,375.31
2026-07-03T19:29:37.941888,large_full,4,7937.3,resnet18,1,8,310,2,78.8747,518.86,374.87
2026-07-03T19:31:00.929256,large_full,4,7937.3,resnet18,1,8,310,3,82.9714,518.86,372.96
2026-07-03T19:32:19.892991,large_full,4,7937.3,resnet18,1,8,310,4,78.9152,518.87,375.45
2026-07-03T19:34:42.105700,large_full,4,7937.3,resnet18,2,16,280,0,142.1918,655.84,363.84
2026-07-03T19:37:07.031811,large_full,4,7937.3,resnet18,2,16,280,1,144.8917,651.88,363.3
2026-07-03T19:39:32.207108,large_full,4,7937.3,resnet18,2,16,280,2,145.1238,653.68,361.63
2026-07-03T19:42:05.680149,large_full,4,7937.3,resnet18,2,16,280,3,153.4586,655.9,362.88
2026-07-03T19:44:33.551449,large_full,4,7937.3,resnet18,2,16,280,4,147.8296,651.25,365.68
2026-07-03T19:48:56.320219,large_full,4,7937.3,resnet18,3,32,250,0,262.7258,865.67,355.58
2026-07-03T19:53:07.806780,large_full,4,7937.3,resnet18,3,32,250,1,251.4585,864.86,356.43
2026-07-03T19:57:28.730903,large_full,4,7937.3,resnet18,3,32,250,2,260.8774,864.25,358.81
2026-07-03T20:01:44.374257,large_full,4,7937.3,resnet18,3,32,250,3,255.6282,857.48,356.3
2026-07-03T20:06:06.360780,large_full,4,7937.3,resnet18,3,32,250,4,261.9423,896.74,357.61
2026-07-03T20:12:41.713073,large_full,4,7937.3,resnet18,4,32,380,0,395.2991,898.07,356.7
2026-07-03T20:19:08.043081,large_full,4,7937.3,resnet18,4,32,380,1,386.3125,856.01,357.79
2026-07-03T20:25:39.585567,large_full,4,7937.3,resnet18,4,32,380,2,391.5131,891.96,357.09
2026-07-03T20:32:06.896445,large_full,4,7937.3,resnet18,4,32,380,3,387.284,894.07,357.96
2026-07-03T20:38:43.894891,large_full,4,7937.3,resnet18,4,32,380,4,396.9569,867.16,356.58
2026-07-03T20:51:27.616342,large_full,4,7937.3,resnet18,5,64,340,0,763.7011,1161.84,350.67
2026-07-03T21:04:08.112965,large_full,4,7937.3,resnet18,5,64,340,1,760.44,1223.47,350.55
2026-07-03T21:16:58.064400,large_full,4,7937.3,resnet18,5,64,340,2,769.927,1219.68,351.18
2026-07-03T21:29:26.045256,large_full,4,7937.3,resnet18,5,64,340,3,747.9659,1223.79,350.54
2026-07-03T21:42:06.567186,large_full,4,7937.3,resnet18,5,64,340,4,760.484,1210.91,350.28
2026-07-03T21:43:23.793721,large_full,4,7937.3,resnet50,1,8,125,0,77.1761,895.99,382.06
2026-07-03T21:44:42.368582,large_full,4,7937.3,resnet50,1,8,125,1,78.5603,899.62,380.78
